datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharedname,result
12/26/2018 8:59:09 PM,4624,dc$,	,,		-,,,normal
12/26/2018 8:59:09 PM,4672,dc$,,,,,,normal
12/26/2018 8:58:09 PM,4624,dc$,	,,		-,,,normal
12/26/2018 8:58:09 PM,4672,dc$,,,,,,normal
12/26/2018 8:57:22 PM,4674,local service,,,	c:\windows\system32\lsass.exe,,,normal
12/26/2018 8:57:22 PM,4674,local service,,,	c:\windows\system32\lsass.exe,,,normal
12/26/2018 8:57:22 PM,4674,local service,,,	c:\windows\system32\lsass.exe,,,normal
12/26/2018 8:57:21 PM,5140,dc$,		fe80,,,,		\\*\sysvol,normal
12/26/2018 8:57:21 PM,4624,dc$,	fe80,,		-,,,normal
12/26/2018 8:57:21 PM,4672,dc$,,,,,,normal
12/26/2018 8:57:21 PM,4624,dc$,	192.168.2.10,,		-,,,normal
12/26/2018 8:57:21 PM,4672,dc$,,,,,,normal
12/26/2018 8:57:21 PM,4624,dc$,	,,		-,,,normal
12/26/2018 8:57:21 PM,4672,dc$,,,,,,normal
12/26/2018 8:57:21 PM,4624,dc$,	fe80,,		-,,,normal
12/26/2018 8:57:21 PM,4672,dc$,,,,,,normal
12/26/2018 8:57:13 PM,4688,dc$,,,	c:\windows\system32\sppsvc.exe,,,normal
12/26/2018 8:57:09 PM,4624,dc$,	,,		-,,,normal
12/26/2018 8:57:09 PM,4672,dc$,,,,,,normal
12/26/2018 8:56:20 PM,4624,dc$,	fe80,,		-,,,normal
12/26/2018 8:56:20 PM,4672,dc$,,,,,,normal
12/26/2018 8:56:20 PM,4624,dc$,	fe80,,		-,,,normal
12/26/2018 8:56:20 PM,4672,dc$,,,,,,normal
12/26/2018 8:56:09 PM,4624,dc$,	,,		-,,,normal
12/26/2018 8:56:09 PM,4672,dc$,,,,,,normal
